seed,defense,attack,severity,detected,aas,unweighted
99,fabric_abac,collude_block_signature,5,1,0.7916666666666666,0.8571428571428571
99,fabric_abac,revocation_race,2,1,0.7916666666666666,0.8571428571428571
99,fabric_abac,compromised_signer,5,0,0.7916666666666666,0.8571428571428571
99,fabric_abac,metadata_inference,4,1,0.7916666666666666,0.8571428571428571
99,trusted_policy_oracle,replay_approval_token,3,1,1.0,1.0
99,trusted_policy_oracle,backdate_request,3,1,1.0,1.0
99,trusted_policy_oracle,swap_explanation_hash,2,1,1.0,1.0
99,trusted_policy_oracle,collude_block_signature,5,1,1.0,1.0
99,trusted_policy_oracle,revocation_race,2,1,1.0,1.0
99,trusted_policy_oracle,compromised_signer,5,1,1.0,1.0
99,trusted_policy_oracle,metadata_inference,4,1,1.0,1.0
99,nspi_drift,replay_approval_token,3,0,0.00020313099917144235,0.6666666666666666
99,nspi_drift,backdate_request,3,0,0.00023323801173791205,0.681592039800995
99,nspi_drift,swap_explanation_hash,2,0,0.00023323801173791205,0.681592039800995
99,nspi_drift,collude_block_signature,5,0,0.00020313099917144235,0.6616915422885572
99,nspi_drift,revocation_race,2,0,0.0002030437142708473,0.7014925373134329
99,nspi_drift,compromised_signer,5,1,0.03359133916370308,0.004975124378109453
99,nspi_drift,metadata_inference,4,0,0.0,0.0
