source_table,metric_family,group,metric,n_seeds,seeds,mean,std,std_defined,min,max
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=2500,cs_f25_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=5000,cs_f25_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_approval_missing|num_requests=1000,cs_f25_trusted_oracle_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_classified_proxy|num_requests=1000,cs_f25_trusted_oracle_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_cross_jurisdiction|num_requests=1000,cs_f25_trusted_oracle_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_revoked_credential|num_requests=1000,cs_f25_trusted_oracle_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=500,cs_f25_trusted_oracle_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=1000,cs_f25_trusted_oracle_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=2500,cs_f25_trusted_oracle_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=5000,cs_f25_trusted_oracle_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_approval_missing|num_requests=1000,cs_f25_signed_chain_detect,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
workload_policy_stress_raw,workload_stress,arm=mix_high_classified_proxy|num_requests=1000,cs_f25_signed_chain_detect,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
workload_policy_stress_raw,workload_stress,arm=mix_high_cross_jurisdiction|num_requests=1000,cs_f25_signed_chain_detect,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
workload_policy_stress_raw,workload_stress,arm=mix_high_revoked_credential|num_requests=1000,cs_f25_signed_chain_detect,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=500,cs_f25_signed_chain_detect,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=1000,cs_f25_signed_chain_detect,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=2500,cs_f25_signed_chain_detect,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=5000,cs_f25_signed_chain_detect,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
workload_policy_stress_raw,workload_stress,arm=mix_high_approval_missing|num_requests=1000,cs_f10_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_classified_proxy|num_requests=1000,cs_f10_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_cross_jurisdiction|num_requests=1000,cs_f10_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_revoked_credential|num_requests=1000,cs_f10_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=500,cs_f10_nspi_global_detect,5,7|21|42|99|123,0.2,0.447214,True,0.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=1000,cs_f10_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=2500,cs_f10_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=5000,cs_f10_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_approval_missing|num_requests=1000,cs_f10_nspi_per_station_detect,5,7|21|42|99|123,0.6,0.547723,True,0.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_classified_proxy|num_requests=1000,cs_f10_nspi_per_station_detect,5,7|21|42|99|123,0.8,0.447214,True,0.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_cross_jurisdiction|num_requests=1000,cs_f10_nspi_per_station_detect,5,7|21|42|99|123,0.8,0.447214,True,0.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_revoked_credential|num_requests=1000,cs_f10_nspi_per_station_detect,5,7|21|42|99|123,0.8,0.447214,True,0.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=500,cs_f10_nspi_per_station_detect,5,7|21|42|99|123,0.2,0.447214,True,0.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=1000,cs_f10_nspi_per_station_detect,5,7|21|42|99|123,0.6,0.547723,True,0.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=2500,cs_f10_nspi_per_station_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=5000,cs_f10_nspi_per_station_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_approval_missing|num_requests=1000,cf_validity,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_classified_proxy|num_requests=1000,cf_validity,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_cross_jurisdiction|num_requests=1000,cf_validity,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_revoked_credential|num_requests=1000,cf_validity,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=500,cf_validity,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=1000,cf_validity,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=2500,cf_validity,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=5000,cf_validity,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_approval_missing|num_requests=1000,nspi_train_accuracy,5,7|21|42|99|123,0.9518,0.009418,True,0.941,0.962
workload_policy_stress_raw,workload_stress,arm=mix_high_classified_proxy|num_requests=1000,nspi_train_accuracy,5,7|21|42|99|123,0.938,0.002915,True,0.934,0.942
workload_policy_stress_raw,workload_stress,arm=mix_high_cross_jurisdiction|num_requests=1000,nspi_train_accuracy,5,7|21|42|99|123,0.9568,0.012931,True,0.935,0.969
workload_policy_stress_raw,workload_stress,arm=mix_high_revoked_credential|num_requests=1000,nspi_train_accuracy,5,7|21|42|99|123,0.952,0.008602,True,0.94,0.964
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=500,nspi_train_accuracy,5,7|21|42|99|123,0.9148,0.026405,True,0.872,0.938
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=1000,nspi_train_accuracy,5,7|21|42|99|123,0.9468,0.011054,True,0.929,0.958
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=2500,nspi_train_accuracy,5,7|21|42|99|123,0.968,0.003111,True,0.9632,0.9716
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=5000,nspi_train_accuracy,5,7|21|42|99|123,0.97376,0.002651,True,0.9704,0.9776
workload_policy_stress_raw,workload_stress,arm=mix_high_approval_missing|num_requests=1000,runtime_seconds,5,7|21|42|99|123,3.896,0.008944,True,3.89,3.91
workload_policy_stress_raw,workload_stress,arm=mix_high_classified_proxy|num_requests=1000,runtime_seconds,5,7|21|42|99|123,3.898,0.043243,True,3.85,3.95
workload_policy_stress_raw,workload_stress,arm=mix_high_cross_jurisdiction|num_requests=1000,runtime_seconds,5,7|21|42|99|123,3.968,0.025884,True,3.94,4.0
workload_policy_stress_raw,workload_stress,arm=mix_high_revoked_credential|num_requests=1000,runtime_seconds,5,7|21|42|99|123,3.898,0.035637,True,3.86,3.94
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=500,runtime_seconds,5,7|21|42|99|123,3.376,0.071274,True,3.29,3.45
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=1000,runtime_seconds,5,7|21|42|99|123,3.96,0.081548,True,3.88,4.06
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=2500,runtime_seconds,5,7|21|42|99|123,5.616,0.053198,True,5.56,5.69
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=5000,runtime_seconds,5,7|21|42|99|123,8.794,0.167272,True,8.56,8.94
